»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.43.0
»»»  Vision Version:	5.43.2 (R)
»»»  Vision Compiled:	12/22/22
»»»  Driver Version:	5.43.1
»»»  Windows Version:	Windows 8, 8.1 or 10
»»»  Processor Information:	x86 (AMD or Intel) - 6 Processors
»»»  Tester Name:	PLC20323-466 (30V)
»»»  Tester S/N:	PLC20323-466
»»»  Internal Amp Type:	 30V RevH   5k
»»»  Internal Amp S/N:	iAB1-478/H     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	4/10/2025 - 16:34:39
Configured:	04/10/25 10:58:41 AM
Executed:	04/10/25 04:34:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	Internal Reference Cap
Lot Name:	N/A
Wafer Name:	N/A
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (µm):	3.00e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PLC20323-466 (30V)
Tester Serial Number:	PLC20323-466
Return Signal Amp. Level:	0.19 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3
Volts:	8.00
Field:	266.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+01
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	10001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (µC/cm2)	Capacitance (µF)	Normalized Capacitance (µF/cm2)	Dielectric Constant	Instantaneous Current (mA)
 198	1.9700e-01	0.6303	-17.062198	-1.244203	-12442.025697	-0.421982	-0.000399
 199	1.9800e-01	0.6342	-17.010386	16.174633	161746.334057	5.485766	0.005181
 200	1.9900e-01	0.6359	-16.978501	9.953621	99536.205574	3.375856	0.003188
 201	2.0000e-01	0.6392	-16.918718	18.663039	186630.385450	6.329730	0.005978
 202	2.0100e-01	0.6431	-16.946617	-8.709418	-87094.179877	-2.953874	-0.002790
 203	2.0200e-01	0.6464	-16.954588	-2.488405	-24884.051393	-0.843964	-0.000797
 204	2.0300e-01	0.6500	-16.926689	8.709418	87094.179877	2.953874	0.002790
 205	2.0400e-01	0.6521	-16.974516	-14.930431	-149304.308360	-5.063784	-0.004783
 206	2.0500e-01	0.6573	-16.930674	13.686228	136862.282664	4.641802	0.004384
 207	2.0600e-01	0.6589	-16.938646	-2.488405	-24884.051393	-0.843964	-0.000797
 208	2.0700e-01	0.6626	-16.850963	27.372457	273724.565327	9.283605	0.008768
 209	2.0800e-01	0.6661	-16.874877	-7.465215	-74652.154180	-2.531892	-0.002391
 210	2.0900e-01	0.6689	-16.846978	8.709418	87094.179877	2.953874	0.002790
 211	2.1000e-01	0.6715	-16.846978	0.000000	0.000000	0.000000	0.000000
 212	2.1100e-01	0.6747	-16.846978	0.000000	0.000000	0.000000	0.000000
 213	2.1200e-01	0.6771	-16.846978	0.000000	0.000000	0.000000	0.000000
 214	2.1300e-01	0.6803	-16.771252	23.639849	236398.488237	8.017658	0.007573
 215	2.1400e-01	0.6855	-16.795165	-7.465215	-74652.154180	-2.531892	-0.002391
 216	2.1500e-01	0.6889	-16.763281	9.953621	99536.205574	3.375856	0.003188
 217	2.1600e-01	0.6896	-16.795165	-9.953621	-99536.205574	-3.375856	-0.003188
 218	2.1700e-01	0.6944	-16.731396	19.907241	199072.411147	6.751712	0.006377
 219	2.1800e-01	0.6979	-16.755310	-7.465215	-74652.154180	-2.531892	-0.002391
 220	2.1900e-01	0.7022	-16.719440	11.197823	111978.231270	3.797838	0.003587
 221	2.2000e-01	0.7037	-16.699512	6.221013	62210.128483	2.109910	0.001993
 222	2.2100e-01	0.7072	-16.699512	0.000000	0.000000	0.000000	0.000000
 223	2.2200e-01	0.7088	-16.671613	8.709418	87094.179877	2.953874	0.002790
 224	2.2300e-01	0.7146	-16.707483	-11.197823	-111978.231270	-3.797838	-0.003587
 225	2.2400e-01	0.7158	-16.647699	18.663039	186630.385450	6.329730	0.005978
 226	2.2500e-01	0.7201	-16.639728	2.488405	24884.051393	0.843964	0.000797
 227	2.2600e-01	0.7229	-16.591902	14.930431	149304.308360	5.063784	0.004783
 228	2.2700e-01	0.7263	-16.607844	-4.976810	-49768.102787	-1.687928	-0.001594
 229	2.2800e-01	0.7291	-16.635743	-8.709418	-87094.179877	-2.953874	-0.002790
 230	2.2900e-01	0.7334	-16.583930	16.174633	161746.334057	5.485766	0.005181
 231	2.3000e-01	0.7352	-16.623786	-12.442026	-124420.256967	-4.219820	-0.003986
 232	2.3100e-01	0.7386	-16.615815	2.488405	24884.051393	0.843964	0.000797
 233	2.3200e-01	0.7417	-16.516176	31.105064	311050.642417	10.549551	0.009964
 234	2.3300e-01	0.7452	-16.591902	-23.639849	-236398.488237	-8.017658	-0.007573
 235	2.3400e-01	0.7478	-16.512190	24.884051	248840.513934	8.439640	0.007971
 236	2.3500e-01	0.7513	-16.508205	1.244203	12442.025697	0.421982	0.000399
 237	2.3600e-01	0.7545	-16.504219	1.244203	12442.025697	0.421982	0.000399
 238	2.3700e-01	0.7584	-16.544075	-12.442026	-124420.256967	-4.219820	-0.003986
 239	2.3800e-01	0.7616	-16.420522	38.570280	385702.796598	13.081443	0.012355
 240	2.3900e-01	0.7639	-16.408566	3.732608	37326.077090	1.265946	0.001196
 241	2.4000e-01	0.7677	-16.488277	-24.884051	-248840.513934	-8.439640	-0.007971
 242	2.4100e-01	0.7716	-16.408566	24.884051	248840.513934	8.439640	0.007971
 243	2.4200e-01	0.7722	-16.432479	-7.465215	-74652.154180	-2.531892	-0.002391
 244	2.4300e-01	0.7771	-16.460378	-8.709418	-87094.179877	-2.953874	-0.002790
 245	2.4400e-01	0.7789	-16.420522	12.442026	124420.256967	4.219820	0.003986
 246	2.4500e-01	0.7829	-16.356753	19.907241	199072.411147	6.751712	0.006377
 247	2.4600e-01	0.7870	-16.368710	-3.732608	-37326.077090	-1.265946	-0.001196
 248	2.4700e-01	0.7890	-16.380667	-3.732608	-37326.077090	-1.265946	-0.001196
 249	2.4800e-01	0.7924	-16.340811	12.442026	124420.256967	4.219820	0.003986
 250	2.4900e-01	0.7968	-16.285013	17.418836	174188.359754	5.907748	0.005580
 251	2.5000e-01	0.7997	-16.312912	-8.709418	-87094.179877	-2.953874	-0.002790
 252	2.5100e-01	0.8023	-16.332840	-6.221013	-62210.128483	-2.109910	-0.001993
 253	2.5200e-01	0.8059	-16.269071	19.907241	199072.411147	6.751712	0.006377
 254	2.5300e-01	0.8092	-16.221244	14.930431	149304.308360	5.063784	0.004783
 255	2.5400e-01	0.8133	-16.233201	-3.732608	-37326.077090	-1.265946	-0.001196
 256	2.5500e-01	0.8177	-16.229215	1.244203	12442.025697	0.421982	0.000399
 257	2.5600e-01	0.8180	-16.292984	-19.907241	-199072.411147	-6.751712	-0.006377
 258	2.5700e-01	0.8232	-16.217259	23.639849	236398.488237	8.017658	0.007573
 259	2.5800e-01	0.8244	-16.165446	16.174633	161746.334057	5.485766	0.005181
 260	2.5900e-01	0.8285	-16.169432	-1.244203	-12442.025697	-0.421982	-0.000399
 261	2.6000e-01	0.8315	-16.141533	8.709418	87094.179877	2.953874	0.002790
 262	2.6100e-01	0.8347	-16.137547	1.244203	12442.025697	0.421982	0.000399
 263	2.6200e-01	0.8383	-16.113634	7.465215	74652.154180	2.531892	0.002391
 264	2.6300e-01	0.8412	-16.149504	-11.197823	-111978.231270	-3.797838	-0.003587
 265	2.6400e-01	0.8435	-16.145518	1.244203	12442.025697	0.421982	0.000399
 266	2.6500e-01	0.8472	-16.033923	34.837672	348376.719507	11.815497	0.011160
